ManagerName,PrivateFundName,PrivateFundGrossAssetValue,FilingDate
".406 Ventures Management, L.P.","POINT 406 VENTURES 2016 OPPORTUNITIES FUND, L.P.","127,188,721.00",3/31/2022
".406 Ventures Management, L.P.","POINT 406 VENTURES II, L.P.","409,273,788.00",3/31/2022
".406 Ventures Management, L.P.","POINT 406 VENTURES III, L.P.","666,606,886.00",3/31/2022
".406 Ventures Management, L.P.","POINT 406 VENTURES IV, L.P.","338,937,953.00",3/31/2022
".406 Ventures Management, L.P.","POINT 406 VENTURES OPPORTUNITIES FUND II, L.P.","99,733,645.00",3/31/2022
"11.2 Capital Management, LLC","11.2 CAPITAL HH, LLC","13,288,984.00",5/6/2022
"11.2 Capital Management, LLC","11.2 CAPITAL I, L.P.","441,915,281.00",5/6/2022
"11.2 Capital Management, LLC","11.2 CAPITAL II, L.P.","100,823,605.00",5/6/2022
"11.2 Capital Management, LLC","11.2 CAPITAL IVY, LLC","85,626,647.00",5/6/2022
"1214 Capital, LLC","CMIC, LLC","12,305,000.00",5/9/2022
"1315 Capital, LLC","1315 CAPITAL AIV, LP","1,100,191.00",3/29/2022
"1315 Capital, LLC","1315 CAPITAL, LP","291,875,338.00",3/29/2022
"1901 Partners Management, LP","1901-LES (OFFSHORE) PARTNERS I, LP",0,4/27/2022
"1901 Partners Management, LP","1901-LES PARTNERS, LP",0,4/27/2022
"1984 Ventures Management, LLC","1984 VENTURES II, L.P.","74,626,000.00",3/6/2022
"1984 Ventures Management, LLC","1984 VENTURES, L.P.","110,953,469.00",3/6/2022
"2048 Ventures, LLC","2048 VENTURES I, LP","46,361,029.00",3/31/2022
"2048 Ventures, LLC","2048 VENTURES II, LP","66,669,747.00",3/31/2022
"213 Management, LLC","SANDBOX INSURTECH FUND, LP","60,787,565.00",3/29/2022
"21vc Management Partners II, LLC","21VC FUND II, LP","3,462,757.00",1/19/2023
"3X5 Partners, LLC","3X5 KALEIDOSCOPE INVESTORS, LLC","5,500,000.00",3/7/2023
"3X5 Partners, LLC","3X5 PARTNERS FUND III, L.P.","83,380,614.00",3/7/2023
"3X5 Partners, LLC","3X5 PARTNERS FUND III-B, L.P.","8,338,252.00",3/7/2023
"3X5 Partners, LLC","ARCH ONCOLOGY INVESTORS, LLC","130,954.00",3/7/2023
"3X5 Partners, LLC","ARTMS INVESTORS, LLC","7,340,194.00",3/7/2023
"4DX Ventures Management, LLC","4DX VENTURES A1, L.P.","2,816,557.00",3/31/2022
"4DX Ventures Management, LLC","4DX VENTURES M1, L.P.","5,223,251.00",3/31/2022
"4DX Ventures Management, LLC","4DX VENTURES S1, L.P.","2,767,858.00",3/31/2022
"4DX Ventures Management, LLC","4DX VENTURES S2, L.P.","2,538,262.00",3/31/2022
500 Kimchi Management Company LLC,"500 KIMCHI, L.P.","48,688,581.00",3/29/2022
500 Mobile Collective Management Company LLC,"500 MOBILE COLLECTIVE, L.P.","167,754,990.00",3/29/2022
500 Startups Management Company Singapore PTE LTD,"500 DURIANS II, L.P.","81,914,168.00",3/29/2022
500 Startups Management Company Singapore PTE LTD,"500 SOUTHEAST ASIA III, L.P.","33,947,701.00",3/29/2022
500 Startups Management Company UK LLP,"500 STARTUPS IV, L.P.","67,952,929.00",10/3/2018
500 Startups Management Company UK LLP,"500 STARTUPS IV-A, L.P.","3,331,849.00",10/3/2018
"500 Startups Management Company, LLC","500 DURIANS GROWTH FUND I, L.P.","23,504,471.00",3/29/2022
"500 Startups Management Company, LLC","500 DURIANS II, L.P.","81,914,168.00",3/29/2022
"500 Startups Management Company, LLC","500 DURIANS, L.P.","113,494,385.00",3/29/2022
"500 Startups Management Company, LLC","500 FALCONS, L.P.","81,830,144.00",3/29/2022
"500 Startups Management Company, LLC","500 FINTECH, L.P.","87,393,061.00",3/29/2022
"500 Startups Management Company, LLC","500 GLOBAL ACCELERATOR FUND I, L.P.","7,500,000.00",3/29/2022
"500 Startups Management Company, LLC","500 GLOBAL SPV I, L.P.","31,747,795.00",3/29/2022
"500 Startups Management Company, LLC","500 KIMCHI, L.P.","48,688,581.00",3/29/2022
"500 Startups Management Company, LLC","500 LUCHADORES II, L.P.","12,532,271.00",3/29/2022
"500 Startups Management Company, LLC","500 LUCHADORES III, L.P.","24,055,399.00",3/29/2022
"500 Startups Management Company, LLC","500 LUCHADORES, L.P.","14,260,148.00",3/29/2022
"500 Startups Management Company, LLC",500 MOBILE COLLECTIVE L.P.,"167,754,990.00",3/29/2022
"500 Startups Management Company, LLC","500 SOUTHEAST ASIA III, L.P.","33,947,701.00",3/29/2022
"500 Startups Management Company, LLC","500 SOUTHEAST ASIA SPV II, L.P.","5,146,788.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS ANNEX FUND, L.P.","1,125,074.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS II, L.P.","330,481,721.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS II-A, L.P.","115,654,493.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS III, L.P.","317,010,111.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS III-A, L.P.","60,468,489.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS ISTANBUL, L.P.","48,940,363.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS IV, L.P.","234,635,579.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS IV-A, L.P.","10,004,982.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS JP, L.P.","105,439,596.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS KOREA II, L.P.","17,537,350.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS V, L.P.","187,796,741.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS VIETNAM, L.P.","66,374,213.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS, L.P.","302,588,736.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPS-A, L.P.","98,825,604.00",3/29/2022
"500 Startups Management Company, LLC","500 STARTUPWALLAH, L.P.","2,320,019.00",3/29/2022
"500 Startups Management Company, LLC","500 TUKTUKS II, L.P.","9,485,478.00",3/29/2022
"500 Startups Management Company, LLC","500 TUKTUKS, L.P.","23,492,288.00",3/29/2022
"500 Startups Management Company, LLC","ORZON VENTURES, L.P.","25,029,159.00",3/29/2022
"500 Startups Management Company, LLC","SANABIL 500 MENA ACCELERATOR I, L.P.","14,980,343.00",3/29/2022
"500 Startups Management Company, LLC","SMARTHR SPV, L.P.","212,810,785.00",3/29/2022
"645 Ventures Management, LLC","645 VENTURES II, L.P.","104,552,356.00",3/31/2022
"645 Ventures Management, LLC","645 VENTURES III, L.P.","154,922,980.00",3/31/2022
"645 Ventures Management, LLC","645 VENTURES, L.P.","39,755,963.00",3/31/2022
"747 Capital, LLC","747 STUYVESANT IV PARALLEL FUND, LP","46,942,220.00",2/27/2023
"747 Capital, LLC","747 STUYVESANT IV, LP","16,449,606.00",2/27/2023
"747 Capital, LLC","747 STUYVESANT V PARALLEL FUND, L.P.","87,154,188.00",2/27/2023
"747 Capital, LLC","747 STUYVESANT V, L.P.","17,160,463.00",2/27/2023
"747 Capital, LLC","747 STUYVESANT VI PARALLEL FUND, L.P.","122,707,278.00",2/27/2023
"747 Capital, LLC","747 STUYVESANT VI, L.P.","33,259,014.00",2/27/2023
"747 Capital, LLC","747 STUYVESANT VII PARALLEL FUND, L.P.","86,801,077.00",2/27/2023
"747 Capital, LLC","747 STUYVESANT VII, L.P.","27,980,390.00",2/27/2023
"776 Management, LLC","776 ARETE FUND I, L.P.","158,432,193.00",1/31/2023
"776 Management, LLC","776 FUND 1896 ATHENS, L.P.","12,412,435.00",1/31/2023
"776 Management, LLC","776 FUND 1900 PARIS, L.P.","5,156,215.00",1/31/2023
"776 Management, LLC","776 FUND 1904 ST. LOUIS, L.P.","10,078,914.00",1/31/2023
"776 Management, LLC","776 FUND 1908 LONDON, L.P.","3,719,334.00",1/31/2023
"776 Management, LLC","776 FUND 1912 STOCKHOLM, L.P.","514,928.00",1/31/2023
"776 Management, LLC","776 FUND 1916 BERLIN, L.P.","2,236,247.00",1/31/2023
"776 Management, LLC","776 FUND 1920 ANTWERP, L.P.","7,575,848.00",1/31/2023
"776 Management, LLC","776 FUND 1924 CHAMONIX, L.P.","1,050,000.00",1/31/2023
"776 Management, LLC","776 FUND 1924 PARIS, L.P.","10,776,362.00",1/31/2023
"776 Management, LLC","776 FUND 1928 AMSTERDAM, L.P.","5,153,933.00",1/31/2023
"776 Management, LLC","776 FUND 1928 ST. MORITZ, L.P.","1,050,000.00",1/31/2023
"776 Management, LLC","776 FUND 1932 LAKE PLACID, L.P.","1,050,000.00",1/31/2023
"776 Management, LLC","776 FUND 1932 LOS ANGELES, L.P.","1,500,000.00",1/31/2023
"776 Management, LLC","776 FUND 1936 GARMISCH-PARTENKIRCHEN, L.P.","2,149,000.00",1/31/2023
"776 Management, LLC","776 FUND 1940 GARMISCH-PARTENKIRCHEN, L.P.","1,200,000.00",1/31/2023
"776 Management, LLC","776 FUND 1940 HELSINKI, L.P.","855,000.00",1/31/2023
"776 Management, LLC","776 FUND I, L.P.","230,704,765.00",1/31/2023
"776 Management, LLC","776 FUND II, L.P.","281,224,119.00",1/31/2023
"776 Management, LLC","776 PHALANX I, L.P.","9,980,003.00",1/31/2023
"776 Management, LLC","776 PHALANX II FUND, L.P.","8,695,600.00",1/31/2023
"83north 2017, LTD.",83NORTH FXV III LIMITED PARTNERSHIP,"112,072,000.00",3/1/2023
"83north 2017, LTD.",83NORTH FXV IV LIMITED PARTNERSHIP,"250,952,000.00",3/1/2023
"83north 2017, LTD.",83NORTH FXV LIMITED PARTNERSHIP,"154,388,000.00",3/1/2023
"83north 2017, LTD.",83NORTH II LIMITED PARTNERSHIP,"191,884,000.00",3/1/2023
"83north 2017, LTD.",83NORTH III LIMITED PARTNERSHIP,"810,872,000.00",3/1/2023
"83north 2017, LTD.",83NORTH III OPPORTUNITY LIMITED PARTNERSHIP,"116,570,000.00",3/1/2023
"83north 2017, LTD.",83NORTH IV LIMITED PARTNERSHIP,"367,620,000.00",3/1/2023
"83north 2017, LTD.",83NORTH V LIMITED PARTNERSHIP,"217,976,000.00",3/1/2023
"83north 2017, LTD.",83NORTH VI LIMITED PARTNERSHIP,"278,433,000.00",3/1/2023
